Date,Job_Title,Rating,Current/Former,View_URL,Summary,Location,Recommend,CEO Approval,Business Outlook,Pros,Cons
8-Mar-20, Data Analyst,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32266555.htm,5,in Donauwrth,Recommend,CEO Approval,Business Outlook,Excellent work life balance and flexibility,Slow to make changes in the organization and way of working
30-Jun-20, Research Engineer,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33987051.htm,ok to work,"in Beijing, Beijing",Recommend,CEO Approval,Business Outlook,Interesting projects and access to lots of people,Mid-management is not experienced and usually developed over other employees
19-Feb-20, Autocad Designer,5.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31946133.htm,AutoCAD Designer & Document Controller as worked @ AIRBUS,in Doha,Recommend,CEO Approval,Business Outlook,for me a good Experience of that,Airbus is a very nice company.
25-Aug-20, Project Controller,1.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW35261414.htm,Awful,"in Newport, Wales",Recommend,CEO Approval,Business Outlook,None terrible management and ethos,"Terrible management, bad feeling amongst people, historic problems and people cripple it"
2-Mar-20, Lead Engineer,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32166180.htm,Good Company,"in Stevenage, England",Recommend,CEO Approval,Business Outlook,Big company with lots of career options. Friendly and supportive,Too slow and repetitive projects
17-Jun-20, Student,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33748192.htm,Good company,"in Toronto, ON",Recommend,CEO Approval,Business Outlook,Multinational company with great benefits,"Too many bosses for not as many people
South america chauvinism environment has not changed within the company"
15-Jun-20, Senior Buyer,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33720975.htm,"Good company, stability and salary in exchange very low career progression",in Hamburg,Recommend,CEO Approval,Business Outlook,"Job stability.
Reasonable workload.
Working in the aviation industry.","Very low career progression.
People mindset."
9-Mar-20, Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32286703.htm,Good,,Recommend,CEO Approval,Business Outlook,Good pay and nice staff,Very hard and heavy work
17-Feb-20, Anonymous Employee,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31916990.htm,flight physics engineer,in Bangalore,Recommend,CEO Approval,Business Outlook,"better work culture, high pay, high engagement","people, peer pressure, location and travelling"
23-Feb-20, Field Support Representative,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32020332.htm,The best satisfaction,in Ankara,Recommend,CEO Approval,Business Outlook,Professionality and professional satisfaction for work conditions.,Sometime organization of company works and reacts slowly.
26-Jun-20, Design Engineer,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33922292.htm,interesting place,"in Filton, England",Recommend,CEO Approval,Business Outlook,fast paced work & free coffee,"none really, parking was a pain"
6-Jun-20, Project Manager,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33553993.htm,"Inefficient, but good","in Chester, England",Recommend,CEO Approval,Business Outlook,"Good culture
Flexible working hours
Organisation is willing to develop and train you",A lot of red tape when trying to push through new processes
5-Mar-20, Innovation Project Manager,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32219984.htm,Intrapreneur,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,Opportunity Freedom Flexibility Creativity Products,Slow Heavy Processes Slow Decisions
8-Jun-20, Materials Management,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33581579.htm,Career progression,in Singapore,Recommend,CEO Approval,Business Outlook,Internal mobility is encouraged. Wide range of trainings available,Pay increment structure is unfair fir fresh grads
12-Jun-20, Internship,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33663257.htm,A brief review,in Singapore,Recommend,CEO Approval,Business Outlook,Friendly Environment and Good colleagues around you,May not have a organised team
19-Jun-20, Intern,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33789073.htm,Internship,"in Beijing, Beijing",Recommend,CEO Approval,Business Outlook,"great, ease, easy to comunicate",no no no no no
23-Jan-20, Project Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31464420.htm,Excellent opportunities,,Recommend,CEO Approval,Business Outlook,"Working in the space industry
Chance to travel a lot","Travel sometimes excessive
Salary not as high as many jobs in London"
12-Feb-20, Anonymous Employee,4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31823278.htm,Great flexibility & interesting projects,in Toulouse,Recommend,CEO Approval,Business Outlook,"Albeit a small(ish) company with about 1400 staff, ATR punches above its weight on the global regional aircraft market.
Plenty of flexibility and nice projects to get your hands on if you're willing to take them on.","Due to its size, if you can't thrive without a more rigid structure and need more guidance, this might prove a challenging experience"
26-Sep-19, Head of Engineering,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29460336.htm,World Class Engineering Company,"in Bristol, England",Recommend,CEO Approval,Business Outlook,Airbus is focussed on continuous improvement of its product and its people. A truly transnational company with opportunities to develop in the role or seek options across the wider business.,Like many aerospace companies innovative ideas are plentiful and encouraged but the design process can take 5 years or more to ensure robust and safe implementation.
3-May-20, Project Manager,4.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32996744.htm,A certain amount of stability in uncertain times,in Immenstaad am Bodensee,Recommend,CEO Approval,Business Outlook,"Work for agencies, either in defence or in space, gives a relatively stable workload.","Not much agility, ossified structures"
4-Jun-20, Planning,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33518126.htm,Planning,in Singapore,Recommend,CEO Approval,Business Outlook,It was a good learning opportunity,The career progression is a bit slow
5-May-20, Analyst ,3.0,"Former Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33039121.htm,"No direction and fraudulent activities, whistleblowing hotline that loses you your job.","in Stevenage, England",Recommend,CEO Approval,Business Outlook,"Stability, Pension, holiday and flex","Hr 
Fraudulent activities which cannot be escalated
Poor direction from multisite leaders"
20-Jan-20, Anonymous Employee,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31401187.htm,Great working environment,,Recommend,CEO Approval,Business Outlook,Motivated staff all passionate about the product,slow to react and make decisions
28-Jan-20, Technician,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31535652.htm,Seeking for job opportunities in this field,in Bangalore,Recommend,CEO Approval,Business Outlook,"Line Maintenance is good 
 good in comfortable to passengers
Not any negative remarks
Supplies best products in aviation industry
Being tied up with govt in India is good","Making modern aircrafts development is slow productions
Getting minor engine problems recently
Looks vice makes old visuals makes some bad feel
Suggesting company to make products high and modern looking 
Improve modern safety measurements at high level"
11-May-20, Procurement Manager,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33114471.htm,"Good company, slow career advancement","in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,"High level of Technology, Defence. Great benefits.","Slow career advancement, too much bureaucracy"
10-Jan-20, Anonymous Employee,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31231722.htm,-,,Recommend,CEO Approval,Business Outlook,flexible time and friendly environment of work,nothing.. so far it was a good experience
9-May-20, Primary Operator,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33097273.htm,It's a job,"in Chester, England",Recommend,CEO Approval,Business Outlook,Money reasonable shift pattern reasonable close,Been thwrw a long time don't really know nuthing elea
15-May-20, Avionics,2.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33206226.htm,Technician,in Bangkok,Recommend,CEO Approval,Business Outlook,Its a healthy work environment,They pay less salary as compared to actual market value
12-May-20, Scheduler,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33130947.htm,Poor Management,"in London, England",Recommend,CEO Approval,Business Outlook,"Autonomous working 
Interesting work
Good pay","No support from management 
Blame culture
No consistency with performance management"
10-May-20, Graduate Program,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW33102138.htm,Great place to work,,Recommend,CEO Approval,Business Outlook,"great work atmosphere, working conditions, dynamic work",Difficutl professional growth for young people
7-Jan-20, Consulting Senior Software Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31176628.htm,Happy but...,,Recommend,CEO Approval,Business Outlook,Great atmosphere and supportive enviroment,Management is very chaotic and communication could be better
26-Nov-19, Planning Officer,5.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30576751.htm,heading technical records duties and responsibilities,in New Delhi,Recommend,CEO Approval,Business Outlook,"lovely working atmosphere,working with professionals",nothing as such.i have never experienced a negative response
19-Oct-19, Meteorologist,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29906765.htm,Motivated and Proud,"in Broughton, England",Recommend,CEO Approval,Business Outlook,"The company has many international opportunities  if you can be flexable. The level of resources accessable can be amazing.   There is also a strong culture of ethics and respect for wellbeing. The Health and Safety ethos, in the UK is second to none.
You feel you are part of something  significant and can be proud of what you do.",The corporate culture can be tough  with a lot of empire building there are many power point pilots and meeting fillers. Engineers in the UK can struggle to advance and remain as engineers.
6-Dec-19, Ingnieur,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30742750.htm,Perfect to start and finish career,,Recommend,CEO Approval,Business Outlook,Always something to learn and improve,time decision making with all levels
30-Apr-20, Product Assurance Manager,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32958920.htm,...,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,For the moment it is Ok,For the moment nothing to describe.
25-Apr-20, Engineer,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32884792.htm,great,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,"Good conditios 
great salary
low working hours
Internatioal company","bad company
old people
Old way of working"
17-Nov-19, Trainee Technician,5.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30428616.htm,Trainee technician,in Mumbai,Recommend,CEO Approval,Business Outlook,Coz i have my done ojt in airbus,Best airline ad thank u for the great opportunity
7-Feb-20, Head of Engineering,2.0,"Former Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31738603.htm,"Good people, poor management","in Stevenage, England",Recommend,CEO Approval,Business Outlook,"You get to work with some really talented technical people on some cool projects.
Compensation package is good.","Bureaucratic, long development cycles, poor facilities for design teams."
22-Apr-20, Student Worker,4.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32831490.htm,20h/week,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,"Felixbility, salary, international environment, english as main language.",Far from the city center.
29-Oct-19,,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30091960.htm,Great Employer,,Recommend,CEO Approval,Business Outlook,"Work - life balance is good. Workplace is full of international people, diversity at its best.",Workplace is 75 km away from Munich city. 2 hours of travel is needed on daily basis.
21-Nov-19, Recruitment Business Partner,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30497442.htm,Awesome,in Toulouse,Recommend,CEO Approval,Business Outlook,A challenging job surrounded by bright people in a quality environment,The group is very big and it takes time to know everything
8-Jan-20, Supply Chain Manager,3.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31179645.htm,Challenging environment,,Recommend,CEO Approval,Business Outlook,"Opportunities to develop, many challenges, opportunities to move within the group and discover new roles, learn new skills, fairly diverse environment and overall good corporate culture, good atmosphere amongst most teams","Understaffed, lack of resources resulting in a high turnover in some areas, difficult to make a real impact working within industry which is heavily constrained by regulations"
23-Feb-20, Procurement,2.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32017594.htm,Bureaucratic,in Toulouse,Recommend,CEO Approval,Business Outlook,"Job security, work/life balance, leaves","Salary below the market, lots of redundant headcount, no career ans salary grow, no international  mindset"
24-Feb-20, Intern Marketing,4.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32031200.htm,Intern at Airbus Defence and Space,,Recommend,CEO Approval,Business Outlook,"You do not need experience, so you learn.
You get lunch and transportation for free everyday.
Really chill work.",You do not have a lot of responsabilities or workload.
20-Feb-20, Design Engineer,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31984070.htm,IÕve been working as design engeneer in Moscow office of Airbus company for 1 year.,"in Moscow, Moskva",Recommend,CEO Approval,Business Outlook,"_urrent software like Catia V5, PDM Link, etc.",Becouse of the big company it is the slow career growth.
5-Apr-20, Software Engineer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32607773.htm,good,,Recommend,CEO Approval,Business Outlook,good benfits for all employees,not yet. never seen yet
14-Nov-19, Marketing Director,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30385114.htm,Great company,in Toulouse,Recommend,CEO Approval,Business Outlook,"International, cool products, good conditions, very clever colleagues",Slow and complex to change
17-Nov-19, Internship,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30418362.htm,Good,,Recommend,CEO Approval,Business Outlook,To work on Airbus was a good experience.,Did not have much cons.
16-Nov-19, Anonymous Employee,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30409654.htm,quality support,in Hamburg,Recommend,CEO Approval,Business Outlook,great job great oportuniy great salary,"nothing, actually there exist no cons"
7-Mar-20, Apprentice Accountant,3.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32259895.htm,Great company - Poor managment,"in Bristol, England",Recommend,CEO Approval,Business Outlook,Great opportunities within Airbus UK,Management is not very good.
7-Oct-19, Operations Intern,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29672217.htm,Great experience! A lot to learn and great friendly people,,Recommend,CEO Approval,Business Outlook,"Great company 
Look after their employees 
Innovative projects to be involved in",Maybe lack of benefits for interns
10-Feb-20, Senior Consultant,4.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31777468.htm,Contractual Governance: ¥ Advise on procurement contract projects impacting AirbusÕs Supply Chain and Sales operations,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"Excellent atmosphere, friendly environment, stimulating work","Workload associated, slow career progression and not enough relationship with the mangers"
1-Sep-19, Engineer,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28969707.htm,Very good company,in Bangalore,Recommend,CEO Approval,Business Outlook,Employee benefits and salary. Work visibility is always long term,Engineer responsibility is too high compared to other companies. Engineer job responsibility includes yearly project plan and follow up.
20-Oct-19, Engineer,1.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29914677.htm,Limited career progression options,"in Filton, England",Recommend,CEO Approval,Business Outlook,"Excellent facilities, most work is transnational with plenty opportunity to travel, flexi-time 35hr and no clocking (new), you feel trusted by your employer","Hugely dominated by middle aged white male engineers stuck in the 1900's, people spend decades at the company and only ever moving sideways and never upwards."
23-Oct-19, Design Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29979418.htm,Post-graduate design engineer at Airbus,,Recommend,CEO Approval,Business Outlook,Great company to work for,Sometimes feels underpaid vs the wider industry
25-Oct-19, Anonymous Employee,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30012579.htm,Good to work for,,Recommend,CEO Approval,Business Outlook,Good company benefits and salary,Often feel management are far too controlling
9-Sep-19, Head of Engineering,5.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29119822.htm,Manage the development of aerospace,"in London, England",Recommend,CEO Approval,Business Outlook,"Flexible hours, salary is depicted on a quarterly report that you send to the board.","Work load, delegation should be allowed more often."
30-Oct-19, Solutions Architect,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30110883.htm,N/A,,Recommend,CEO Approval,Business Outlook,The potential to work in other countries,The diversity comes with complexity
4-Aug-19, Anonymous Employee,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28435427.htm,Great for early career - not an option for advanced / senior career,in Toulouse,Recommend,CEO Approval,Business Outlook,"If you are starting your career as an engineer or in a function like communications or sales, Airbus is the place to go to in the Aerospace and Defence industry. The know how is excellent and there is a lot of work to do. However, this is only true for entry and early career  level. Always good to have the Airbus brand in your CV.
The award winning Leadership Academy is really cool to be part of.","If you are advanced or senior in your career you will find a minefield of backdrops - here are a few to consider: the culture is very discriminating unless you are French in FRA or German in GER. Politics is core: the French networks (eg ""Poly"") rule and as a foreigner you have little chance to get invited to them - which literally puts a hard stop on your career & progress in your  work wherever you are. If you consider a job outside France or Germany be warned: despite the luring promises of HR - there is no career advancement for you abroad - period! Must principle: Knowledge & Expertise counts nothing! Networks and saving your boss's job is everything. Must not: Believe Airbus will accelerate your career - in fact it will slow it down, as Airbus is 10-20 years behind modern leadership, technologies, workplace environment, tools, IT, HR, etc.
For advanced career it is NOT an advantage to have Airbus in your CV any longer, as (well informed) recruiters know that you literally lost your cutting edge in the years you spent surviving in an old fashioned industrial dinosaur - take cutting edge engineering or marketing as an example."
27-Sep-19, Intern,5.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29481107.htm,Great team and very interesting work!,,Recommend,CEO Approval,Business Outlook,"Interesting topics
Challenging work
Great team
Great supervisor who really cares about your progress and development",None that I can think of
7-Oct-19, Public Affairs Assistant,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29659017.htm,Public Affairs Assistant,"in Filton, England",Recommend,CEO Approval,Business Outlook,You get opportunities in politics like no other internship can offer.,I wouldn't say there way any.
28-Feb-20, Systems Integrator,4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW32117952.htm,Working at airbus,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"Diverse, good benefits, flexible working",Slow to react to change
6-Jul-19, Business Development Manager,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW27828285.htm,Fantastic company to work for,"in Abu Dhabi, Abu Dhabi",Recommend,CEO Approval,Business Outlook,"Great salary, great management team, many opportunities for professional development through courses,  option to work from home (on occasions)","Very bureaucratic environment, lots of office politics (with bother branches), UK team are slow to respond when you need their assistance"
29-Sep-19, Community Manager,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29515459.htm,"Great exooerience and management, life balance, appreciation",,Recommend,CEO Approval,Business Outlook,MY EXPERIENCE WAS GREAT,"NOTHING, nothing, nothins , nothing, nothing"
15-Sep-19, Supplier Development Manager,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29235086.htm,Great company to work for,in Tokyo,Recommend,CEO Approval,Business Outlook,"Opportunities, Travel, and Work life balance","Compensation is not always great, flexibility and time management can also be an issue"
28-Sep-19, Aircraft Fitter,5.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29504206.htm,Much better than my last job,"in Shawbury, England",Recommend,CEO Approval,Business Outlook,"Good healthcare, good salary, good location",There are no cons as yet
6-Feb-20, Assistant,4.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31715778.htm,"stable, work and life balance",in Toulouse,Recommend,CEO Approval,Business Outlook,"stable, work and life balance, good brand","bureaucratic, slow, not convenient commute between sites"
20-Feb-20,,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31969274.htm,Ok,,Recommend,CEO Approval,Business Outlook,"Good company
 mobility 
Good salary",Lack of technical know how Low workload Low promotion
25-Dec-19, Strategy and Public Affairs,3.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31011018.htm,Good employer tied down by politics and bureaucracy.,,Recommend,CEO Approval,Business Outlook,"Great compensation and benefits, fair working hours, interesting projects and colleagues.","Bogged down by internal politics, and power clashes. Poor internal communication and very weak HR support. Lack of united vision."
27-Sep-19, Anonymous Employee,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29496662.htm,International Transport Manager,,Recommend,CEO Approval,Business Outlook,"Operational transport responsabilities
Management (5 person)
Business Trip
Autonomious & Dynamic","Complex organization
Too much Team Turnover"
30-Sep-19, Aerospace Engineer,5.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29536251.htm,Aerospace Engineer,in Manching,Recommend,CEO Approval,Business Outlook,International Environment Career Possibilities many work fields,Burocracy Politics Too much Management
30-Jan-20, Anonymous Employee,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31592793.htm,Great to kickstart and accelerate your career,,Recommend,CEO Approval,Business Outlook,The workforce is talented and passionate,Patience is required. Career growth is slow.
11-Aug-19, Internship,5.0,"Current Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28562624.htm,Internship in Digitization of industrial performance and improvement,"in Bremen, Bremen",Recommend,CEO Approval,Business Outlook,Access to learning portal and opportunity to learn new software and system,Digitization of the system by analyzing the data and improvement in performance of different projects
17-Sep-19, Commodity Manager,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29277038.htm,Nice company to work,in Getafe,Recommend,CEO Approval,Business Outlook,Flexibility and great oportunities of mobility within the Company.,Slow development in your professional career.
9-Jan-20, Community Service Leader,3.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31207228.htm,International but too big,,Recommend,CEO Approval,Business Outlook,"International environment, internal mobility, interesting company","weak decision taking, company too big to make precise progress"
13-Feb-20, Anonymous Employee,2.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31846967.htm,Too much political,,Recommend,CEO Approval,Business Outlook,"Slow pace
Job Security
Great teammates
Great salary","Salary not competitive
Political environment
Open office"
16-Jan-20, Cyber Security Technician,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31326946.htm,Diligent employer,,Recommend,CEO Approval,Business Outlook,"Enjoyable place to work, sociable and well facilitated.",Various challenges to get projects off the ground and constant set back from budgetary constraints.
14-Aug-19, Anonymous Employee,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28630125.htm,Top company,in Hamburg,Recommend,CEO Approval,Business Outlook,"None to think of.  There is a lot of travel in my job, but I like travelling.","Great company, insight, and room to grow and develop ideas and projects"
19-Jan-20, Solutions Architect,4.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31376391.htm,Nice place to be,in Bangalore,Recommend,CEO Approval,Business Outlook,Great company to work for and learn so many things on Aviation,As in any other company
22-Aug-19, IM Early Careers Manager,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28781906.htm,Early Careers,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"Great company, benefits, opportunities, network",Can be difficult to build networks - but if you want to succeed you will
8-Sep-19, Facilitator,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW29095462.htm,Facilitator,,Recommend,CEO Approval,Business Outlook,The people are great to work with,"No cons, itÕs a great place to work"
17-Jan-20, Anonymous Employee,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31360364.htm,Good company...,,Recommend,CEO Approval,Business Outlook,"In France, good salary and diversity in the activits.",Progression and mobility not Radu.
6-Jan-20, Consultant,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31141144.htm,lovely company,"in Winkfield, England",Recommend,CEO Approval,Business Outlook,good share scheme and good flexible benefits,have to buy a lot to get a good range of benefits
14-Jan-20, Copper,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW31288297.htm,Commodity Manager in Airbus Defense and Space,,Recommend,CEO Approval,Business Outlook,Good for getting experience and learning.,The People is not motivated
19-Jul-19, Senior Subject Matter Expert,5.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28126271.htm,Great Employer,"in Bristol, England",Recommend,CEO Approval,Business Outlook,Inetresting work. Good overall package. Lots of opportunities. Muti-cultural. Lots of training. Real encouragement to develop/inprove skills,"Big company, slow to change, lots of cumbersome processes"
18-Jun-19, Finance Manager,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW27476241.htm,Great workplace!,"in Mnchen, Bavaria, Bavaria",Recommend,CEO Approval,Business Outlook,A great place to work with inspiring products and lots of freedom left to entrepreneurial mindsets.,Decision making process can be long.
15-Dec-19, Engineer,2.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW30881540.htm,"Proper job, little growth",in Singapore,Recommend,CEO Approval,Business Outlook,"-Job security
-Slightly above average benefits
-Many events","-Poor HR support
-Overworked
-Constantly squeezing everyone to get an advantage
- Not agile"
13-Jul-19, Technical Publications Manager,5.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW27970867.htm,Technical Publications,"in Stevenage, England",Recommend,CEO Approval,Business Outlook,"Top engineers, robust processes, innovative programs","Large company, occasional silo working across debt.s that rely on shared data."
5-Aug-19, IT Service Manager,5.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28436890.htm,World Class Employer,"in Filton, England",Recommend,CEO Approval,Business Outlook,All the advantages of a world class transnational employer,"Really, there are none as far as I'm concerned"
25-Jul-19, Supplier Quality Specialist,2.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28253846.htm,unhealthy culture,"in Montreal, QC",Recommend,CEO Approval,Business Outlook,great renowned company. aviation technology at its top level. learning opportunities.,"Great renowned company but operations staff is a mafia. just take a look to linkedin profiles of these poeple and you ll notice that most do not strong academic backgrounds but still hold high ranked roles   like some one said, great company but managed like a mon and dad shop."
28-Jul-19, Head of Project Finance,5.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW28295973.htm,"Cash Management, Invoicing , Revenue, and Commercial Support",in Riy__,Recommend,CEO Approval,Business Outlook,Work environment and strong support,Everything was fantastic and supportive
